switch_step,x_star,N,observed,J,noise,pulse_fraction,lag_steps,seed,pre_m,pre_b,pre_coherence,pre_fragmentation,pre_matched_error,pre_lag_error,pre_wrong_error,transition_m,transition_b,transition_coherence,transition_fragmentation,transition_matched_error,transition_lag_error,transition_wrong_error,post_m,post_b,post_coherence,post_fragmentation,post_matched_error,post_lag_error,post_wrong_error,mismatch_count,mismatch_start,mismatch_end,pre_sector,post_sector,phase,case
1428,1.0,64,16,0.45,0.06,1.0,120,1,0.9911610030886656,0.9911763262151685,1.0,0.0,0.005832116502227704,0.005832116502227704,1.2942492889133568,-0.9277455645269601,-0.9277406355925002,0.9994791666666667,0.0005208333333333333,0.217674392910995,0.9641474531806958,1.2938315313241957,-1.0066389056250304,-1.0067485714155568,1.0,0.0,0.004294899034685259,0.004294899034685259,1.3042769056295853,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,2,0.9911722678666178,0.9910614846650506,1.0,0.0,0.005837231321750395,0.005837231321750395,1.2943007482338502,-0.9278861466771278,-0.9279214997186821,0.9998263888888889,0.00017361111111111112,0.21770709774453756,0.9642247328867002,1.2938344934091413,-1.0066528411292783,-1.006749291348524,1.0,0.0,0.004295474691082527,0.004295474691082527,1.304290589157295,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,3,0.9911391467161144,0.9910465662028227,1.0,0.0,0.0058351555736813315,0.0058351555736813315,1.2942728485451263,-0.927786815386005,-0.9281085759568102,0.9991319444444444,0.0008680555555555555,0.2177100453564323,0.9640599249122327,1.2937592123987949,-1.0066842761619337,-1.0067543035623858,1.0,0.0,0.004323648818740805,0.004323648818740805,1.3043202699150989,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,4,0.9912016002423248,0.9913625255391287,1.0,0.0,0.00583975813443186,0.00583975813443186,1.2942247163036296,-0.9276729788796365,-0.927731163924051,0.9996527777777777,0.00034722222222222224,0.21773965909021686,0.9640781826173299,1.2937863160451621,-1.0066100267815825,-1.0065207858493521,1.0,0.0,0.004337939725364026,0.004337939725364026,1.3043277517343095,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,5,0.9911216052843395,0.9911703991887099,1.0,0.0,0.005841551809183822,0.005841551809183822,1.2942119655682909,-0.9278027276510777,-0.9282294723971826,0.9996527777777777,0.00034722222222222224,0.21772947378651938,0.9640335234231748,1.2937424433784837,-1.0065642021504315,-1.0065440701628603,1.0,0.0,0.004273803079150764,0.004273803079150764,1.3042737775934305,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,6,0.9912045286278598,0.9912855377614322,1.0,0.0,0.005834214215370349,0.005834214215370349,1.2942545904113583,-0.9277639250274399,-0.9275712805061357,0.9998263888888889,0.00017361111111111112,0.21771535197787387,0.9642250879614036,1.2938614928814978,-1.0066719900989831,-1.0068206530026764,1.0,0.0,0.004298096795798758,0.004298096795798758,1.3042847615480464,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,7,0.9911473417688035,0.9911003498243319,1.0,0.0,0.00583915814119377,0.00583915814119377,1.2942622193302875,-0.9278680183874588,-0.9277290780905321,0.9998263888888889,0.00017361111111111112,0.21765738090686032,0.9642739521668836,1.293917511315134,-1.006660924237911,-1.0066125315503363,1.0,0.0,0.004350644532469482,0.004350644532469482,1.3043465381952932,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,8,0.9911542242295949,0.9910882819099416,1.0,0.0,0.005848014785571533,0.005848014785571533,1.2942733255611154,-0.9279259959912319,-0.9281073133965909,0.9998263888888889,0.00017361111111111112,0.2177731053353422,0.9641995474135361,1.2937963447566925,-1.0066710574918798,-1.0066146304442074,1.0,0.0,0.004364123660259867,0.004364123660259867,1.3043559368364073,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,9,0.9912069906267329,0.9913172583890257,1.0,0.0,0.0058257682348907165,0.0058257682348907165,1.2942459501905739,-0.9278443475434718,-0.9281256437190886,1.0,0.0,0.21775661111353545,0.964111483352902,1.2938066673225386,-1.0066208858207595,-1.0065809529305498,1.0,0.0,0.004324933685265821,0.004324933685265821,1.304317552295067,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,10,0.9911458510322155,0.9910273715305293,1.0,0.0,0.00583720831451098,0.00583720831451098,1.2942862709965302,-0.9278804427435021,-0.9279519245293495,0.9998263888888889,0.00017361111111111112,0.2176181330318361,0.964208380269341,1.293835962728429,-1.0065898243359632,-1.00656306168724,1.0,0.0,0.004305742717856311,0.004305742717856311,1.3042927527454293,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,11,0.9911683064966066,0.9912820353865109,1.0,0.0,0.005853915015964429,0.005853915015964429,1.294219594111328,-0.9277185153370571,-0.9273156297783954,0.9996527777777777,0.00034722222222222224,0.21765724077739187,0.9642691560257295,1.2938748860337757,-1.006655063095306,-1.0066352294632654,1.0,0.0,0.0043400300315384445,0.0043400300315384445,1.304332732783163,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
1428,1.0,64,16,0.45,0.06,1.0,120,12,0.9911097080179048,0.9910013044942058,1.0,0.0,0.005819577733616131,0.005819577733616131,1.2942592514449327,-0.9279031871089624,-0.9279159456694313,0.9998263888888889,0.00017361111111111112,0.2176741595059915,0.9642437172357726,1.2938832969838674,-1.0066031884597726,-1.0065356901340723,1.0,0.0,0.004324231511079516,0.004324231511079516,1.3043156969128473,120,1428,1547,1,-1,coherent_switch_with_decoder_lag,coherent_switch
