t,m,b,sector,coherence,fragmentation,matched_decoder,wrong_decoder,lag_decoder,matched_error,wrong_error,lag_error
0.0,0.9959608138933217,0.9983732381309702,1.0,1.0,0.0,0.9994306333458396,-0.30056936665416045,0.9994306333458396,0.003469819452517897,1.296530180547482,0.003469819452517897
1.0,0.9962204784396311,0.9983615127455552,1.0,1.0,0.0,0.9994265294609443,-0.3005734705390557,0.9994265294609443,0.0032060510213132165,1.2967939489786868,0.0032060510213132165
2.0,0.9964151848649345,0.9986911985483108,1.0,1.0,0.0,0.9995419194919087,-0.3004580805080913,0.9995419194919087,0.0031267346269742147,1.296873265373026,0.0031267346269742147
3.0,0.9967635931131589,0.9987068222082974,1.0,1.0,0.0,0.9995473877729041,-0.30045261222709596,0.9995473877729041,0.002783794659745209,1.2972162053402547,0.002783794659745209
4.0,0.997006740615872,0.998660502428178,1.0,1.0,0.0,0.9995311758498623,-0.30046882415013776,0.9995311758498623,0.002524435233990263,1.29747556476601,0.002524435233990263
5.0,0.9971773236907402,0.9986419641643257,1.0,1.0,0.0,0.999524687457514,-0.30047531254248605,0.999524687457514,0.0023473637667738023,1.2976526362332264,0.0023473637667738023
6.0,0.997154844885102,0.9984634351928143,1.0,1.0,0.0,0.9994622023174851,-0.300537797682515,0.9994622023174851,0.0023073574323830837,1.297692642567617,0.0023073574323830837
7.0,0.9972083822557164,0.9984785837438838,1.0,1.0,0.0,0.9994675043103594,-0.3005324956896407,0.9994675043103594,0.002259122054642959,1.297740877945357,0.002259122054642959
8.0,0.9974572993404398,0.9985912433437126,1.0,1.0,0.0,0.9995069351702994,-0.3004930648297006,0.9995069351702994,0.0020496358298596196,1.2979503641701404,0.0020496358298596196
9.0,0.9976680876201214,0.9985895994228235,1.0,1.0,0.0,0.9995063597979883,-0.30049364020201175,0.9995063597979883,0.0018382721778669175,1.2981617278221331,0.0018382721778669175
10.0,0.997808180314053,0.9987040124297459,1.0,1.0,0.0,0.9995464043504111,-0.30045359564958896,0.9995464043504111,0.0017382240363580381,1.298261775963642,0.0017382240363580381
11.0,0.9978169340303978,0.9987333190083176,1.0,1.0,0.0,0.9995566616529111,-0.3004433383470889,0.9995566616529111,0.0017397276225132874,1.2982602723774868,0.0017397276225132874
12.0,0.9979222642504235,0.9984076495380236,1.0,1.0,0.0,0.9994426773383083,-0.3005573226616918,0.9994426773383083,0.0015204130878847533,1.2984795869121153,0.0015204130878847533
13.0,0.998158439842835,0.9987892971874512,1.0,1.0,0.0,0.9995762540156079,-0.30042374598439214,0.9995762540156079,0.0014178141727728688,1.298582185827227,0.0014178141727728688
14.0,0.9981934764702491,0.9989285440576453,1.0,1.0,0.0,0.9996249904201758,-0.3003750095798241,0.9996249904201758,0.0014315139499266882,1.2985684860500732,0.0014315139499266882
15.0,0.9981675121912881,0.9988640059925482,1.0,1.0,0.0,0.9996024020973919,-0.3003975979026081,0.9996024020973919,0.0014348899061038534,1.2985651100938962,0.0014348899061038534
16.0,0.9982668475140904,0.9990819765112069,1.0,1.0,0.0,0.9996786917789224,-0.3003213082210776,0.9996786917789224,0.001411844264831985,1.298588155735168,0.001411844264831985
17.0,0.998250629998052,0.9989866466235102,1.0,1.0,0.0,0.9996453263182286,-0.3003546736817715,0.9996453263182286,0.001394696320176525,1.2986053036798235,0.001394696320176525
18.0,0.9983747348530312,0.9988667426148612,1.0,1.0,0.0,0.9996033599152014,-0.3003966400847986,0.9996033599152014,0.0012286250621702521,1.2987713749378298,0.0012286250621702521
19.0,0.998514253328349,0.9989886535858623,1.0,1.0,0.0,0.9996460287550518,-0.3003539712449482,0.9996460287550518,0.0011317754267028413,1.2988682245732972,0.0011317754267028413
